0:0|Kim tệ
0:1|Nguyên bảo
0:2|Ngân lượng
0:3|Nhân vật chính kinh nghiệm
0:4|Anh hùng kinh nghiệm
0:5|Hữu nghị điểm
0:6|Hồn tinh
0:7|Tiên tổ kết tinh
0:8|Hòe ấm lá
0:10|Càn khôn tệ
0:11|Diễn võ trường danh vọng
0:12|Tiên minh cống hiến
0:13|Tầm bảo điểm tích lũy
0:14|Vinh dự
0:15|Thường ngày sinh động độ
0:16|VIP Điểm tích lũy
0:17|Tuần thường sinh động độ
0:18|Vượt phục thang trời thi đấu điểm tích lũy
0:19|Vượt phục sân thi đấu công huân
0:20|Vượt phục đẳng cấp thi đấu điểm tích lũy
4:606013|3 Tinh ngẫu nhiên mảnh vỡ
4:606001|4 Tinh ngẫu nhiên mảnh vỡ
4:606002|5 Tinh ngẫu nhiên mảnh vỡ
4:606003|4 Tinh nhân tộc mảnh vỡ
4:606004|4 Tinh Tiên Tộc mảnh vỡ
4:606005|4 Tinh yêu tộc mảnh vỡ
4:606006|4 Tinh Thần tộc mảnh vỡ
4:606007|4 Tinh ma tộc mảnh vỡ
4:606008|5 Tinh nhân tộc mảnh vỡ
4:606009|5 Tinh Tiên Tộc mảnh vỡ
4:606010|5 Tinh yêu tộc mảnh vỡ
4:606011|5 Tinh Thần tộc mảnh vỡ
4:606012|5 Tinh ma tộc mảnh vỡ
4:606014|4 Tinh Thần Ma mảnh vỡ
4:606015|5 Tinh Thần Ma mảnh vỡ
2:19000100|Làm thô đoản kiếm
2:19000101|Tinh xảo đoản kiếm
2:19000102|Thông mây đoản kiếm
2:19000103|Đỡ chỉ riêng phiến
2:19000104|Đốt hoa đoản kiếm
2:19000105|Nghê thường pháp trượng
2:19000106|Tử Tiêu trường kiếm
2:19000107|Hướng nghi pháp trượng
2:19000108|Bạch giả pháp trượng
2:19000109|Mây lục pháp trượng
2:19000110|Quỷ Vương trường kiếm
2:19000111|Động Huyền đạo kiếm
2:19000112|Trạm lư trường kiếm
2:19000113|Tử Lân cự kiếm
2:19000114|Lưu hà quạt lông
2:19000115|Long Tước cự kiếm
2:19000116|Cung điện khổng lồ chiến nhận
2:19000200|Làm thô áo vải
2:19000201|Tinh xảo đạo bào
2:19000202|Thông Vân Chiến áo
2:19000203|Đỡ chỉ riêng vạt áo bào
2:19000204|Đốt hoa vạt áo bào
2:19000205|Nghê thường vũ y
2:19000206|Tử Tiêu chiến giáp
2:19000207|Hướng nghi pháp bào
2:19000208|Bạch giả áo choàng
2:19000209|Mây lục pháp bào
2:19000210|Quỷ Vương Chiến Giáp
2:19000211|Động Huyền đạo bào
2:19000212|Trạm lư chiến giáp
2:19000213|Tử Lân chiến giáp
2:19000214|Lưu hà pháp bào
2:19000215|Long Tước chiến giáp
2:19000216|Cung điện khổng lồ chiến giáp
2:19000300|Làm thô khăn trùm đầu
2:19000301|Tinh xảo mào đầu
2:19000302|Thông đám mây quan
2:19000303|Đỡ chỉ riêng pháp quan
2:19000304|Đốt hoa chiến nón trụ
2:19000305|Nghê thường mào đầu
2:19000306|Tử Tiêu chiến nón trụ
2:19000307|Hướng nghi mào đầu
2:19000308|Bạch giả mào đầu
2:19000309|Mây lục mào đầu
2:19000310|Quỷ Vương chiến nón trụ
2:19000311|Động Huyền đạo quan
2:19000312|Trạm lư chiến nón trụ
2:19000313|Tử Lân chiến nón trụ
2:19000314|Lưu hà mào đầu
2:19000315|Long Tước chiến nón trụ
2:19000316|Cung điện khổng lồ chiến nón trụ
2:19000400|Làm thô giày vải
2:19000401|Tinh xảo ủng ngắn
2:19000402|Thông mây ủng ngắn
2:19000403|Đỡ chỉ riêng ủng ngắn
2:19000404|Đốt hoa giày chiến
2:19000405|Nghê thường ủng ngắn
2:19000406|Tử Tiêu giày chiến
2:19000407|Hướng nghi ủng ngắn
2:19000408|Bạch giả ủng ngắn
2:19000409|Mây lục ủng ngắn
2:19000410|Quỷ Vương giày chiến
2:19000411|Động Huyền đạo giày
2:19000412|Trạm lư giày chiến
2:19000413|Tử Lân giày chiến
2:19000414|Lưu hà vũ giày
2:19000415|Long Tước giày chiến
2:19000416|Cung điện khổng lồ giày chiến
2:20000111|Tinh · Động Huyền đạo kiếm
2:20000112|Tinh · Trạm lư trường kiếm
2:20000113|Tinh · Tử Lân cự kiếm
2:20000114|Tinh · Lưu hà quạt lông
2:20000115|Tinh · Long Tước cự kiếm
2:20000116|Tinh · Cung điện khổng lồ chiến nhận
2:20000211|Tinh · Động Huyền đạo bào
2:20000212|Tinh · Trạm lư chiến giáp
2:20000213|Tinh · Tử Lân chiến giáp
2:20000214|Tinh · Lưu hà pháp bào
2:20000215|Tinh · Long Tước chiến giáp
2:20000216|Tinh · Cung điện khổng lồ chiến giáp
2:20000311|Tinh · Động Huyền đạo quan
2:20000312|Tinh · Trạm lư chiến nón trụ
2:20000313|Tinh · Tử Lân chiến nón trụ
2:20000314|Tinh · Lưu hà mào đầu
2:20000315|Tinh · Long Tước chiến nón trụ
2:20000316|Tinh · Cung điện khổng lồ chiến nón trụ
2:20000411|Tinh · Động Huyền đạo giày
2:20000412|Tinh · Trạm lư giày chiến
2:20000413|Tinh · Tử Lân giày chiến
2:20000414|Tinh · Lưu hà vũ giày
2:20000415|Tinh · Long Tước giày chiến
2:20000416|Tinh · Cung điện khổng lồ giày chiến
2:20000417|Tuyệt thế · Hạo Thiên Chùy
2:20000418|Tuyệt thế · Kình thiên giáp
2:20000419|Tuyệt thế · Phong Hỏa Luân
2:20000420|Tuyệt thế · La Sát quan
5:1|Mặt trăng ấn
5:2|Hổ phương ấn
5:3|Bạch Trạch ấn
5:4|Huyền Vũ ấn
5:5|Long Tước ấn
5:10001|Chân Long ấn
5:10002|Chân Long ấn
5:10003|Chân Long ấn
5:10004|Chân Long ấn
5:10005|Chân Long ấn
5:10006|Chân Long ấn
5:10007|Chân Long ấn
5:10008|Chân Long ấn
5:10009|Chân Long ấn
5:10010|Chân Long ấn
5:10011|Chân Long ấn
5:10012|Chân Long ấn
5:10013|Chân Long ấn
5:10014|Chân Long ấn
5:10015|Chân Long ấn
5:10016|Chân Long ấn
5:20001|Long hồn
6:10001|Tý Thử
6:10002|Tý Thử
6:10003|Tý Thử
6:10004|Tý Thử
6:10011|Sửu Ngưu
6:10012|Sửu Ngưu
6:10013|Sửu Ngưu
6:10014|Sửu Ngưu
6:10021|Dần Hổ
6:10022|Dần Hổ
6:10023|Dần Hổ
6:10024|Dần Hổ
6:10031|Mão Thỏ
6:10032|Mão Thỏ
6:10033|Mão Thỏ
6:10034|Mão Thỏ
6:10041|Thìn Long
6:10042|Thìn Long
6:10043|Thìn Long
6:10044|Thìn Long
6:10051|Tị Xà
6:10052|Tị Xà
6:10053|Tị Xà
6:10054|Tị Xà
6:10061|Buổi trưa ngựa
6:10062|Buổi trưa ngựa
6:10063|Buổi trưa ngựa
6:10064|Buổi trưa ngựa
6:10071|Vị Dương
6:10072|Vị Dương
6:10073|Vị Dương
6:10074|Vị Dương
6:10081|Thân Hầu
6:10082|Thân Hầu
6:10083|Thân Hầu
6:10084|Thân Hầu
6:10091|Dậu Kê
